conferenceID,conferenceRef,name,year,edition,conProIds,proceedingTitle
c85,301799.0,"5th International Conference on Civil Engineering and Architecture, ICCEA 2022",2022.0,1.0,cp85,proceeding85
c86,299669.0,"14th International Conference on Technology of Plasticity, ICTP 2023",2023.0,1.0,cp86,proceeding86
c87,302369.0,"12th International Symposium on Intelligent Manufacturing and Service Systems, IMSS 2023",2023.0,1.0,cp87,proceeding87
c88,299809.0,"11th IFToMM International Conference on Rotordynamics, IFToMM 2023",2023.0,1.0,cp88,proceeding88
c89,299789.0,"32nd International Conference on Flexible Automation and Intelligent Manufacturing, FAIM 2023",2023.0,1.0,cp89,proceeding89
c90,195756.0,"4th International Scientific Conference of Alkafeel University, ISCKU 2022",2022.0,1.0,cp90,proceeding90
c91,196012.0,"2nd International Conference and Exposition on Mechanical, Material, and Manufacturing Technology, ICE3MT 2022",2022.0,1.0,cp91,proceeding91
c92,197354.0,"6th International Conference on Algorithms, Computing and Artificial Intelligence, ACAI 2023",2023.0,1.0,cp92,proceeding92
c93,196005.0,"2021 International Scientific and Practical Conference on Railway Transport and Technologies, RTT 2021",2021.0,1.0,cp93,proceeding93
c94,196197.0,"2nd International Conference on Emerging Technology Trends in Internet of Things and Computing, TIOTC 2022",2022.0,1.0,cp94,proceeding94
c95,196704.0,"18th ACM International Symposium on Nanoscale Architectures, NANOARCH 2023",2023.0,1.0,cp95,proceeding95
c96,196047.0,"SAE 2023 Intelligent and Connected Vehicles Symposium, ICVS 2023",2023.0,1.0,cp96,proceeding96
c97,195564.0,"3rd International Conference on Applied Mathematics, Modeling and Computer Simulation, AMMCS 2023",2023.0,1.0,cp97,proceeding97
c98,196180.0,"2nd International Conference on Energy and Green Computing, ICEGC 2023",2023.0,1.0,cp98,proceeding98
c99,196174.0,"2023 8th International Conference on Advances in Energy and Environment Research and Clean Energy and Energy Storage Technology Forum, ICAEER 2023 and CEEST 2023",2023.0,1.0,cp99,proceeding99
c100,195544.0,"3rd International Meeting for Applied Geoscience and Energy, IMAGE 2023",2023.0,1.0,cp100,proceeding100
c101,195643.0,"2023 SIGGRAPH Asia 2023 Conference Papers, SA 2023",2023.0,1.0,cp101,proceeding101
c102,195477.0,"2023 SIGGRAPH Asia 2023 Art Papers, SA 2023",2023.0,1.0,cp102,proceeding102
c103,196164.0,"2023 Rudenko International Conference on Methodological Problems in Reliability Study of Large Energy Systems, RSES 2023",2023.0,1.0,cp103,proceeding103
c104,195622.0,"27th European Cosmic Ray Symposium, ECRS 2022",2022.0,1.0,cp104,proceeding104
