authorID,authorRef,Name
a389,58886736700,Li X.
a390,57219933345,Qin Y.
a391,58867793700,Hu C.
a392,58891091500,Qiu Y.
a393,58891764800,Jiang H.
a394,57215438221,Wang Y.
a395,58891091600,Li Y.
a396,58824648900,Tang J.
a397,58868259000,Liu J.
a398,57199442939,Guo H.
a399,57203184348,Deng T.
a400,58891317600,Peng S.
a401,56688023500,Tian H.
a402,7102170540,Ren T.-L.
a403,56517041100,Wang Y.
a404,58890523000,Liu T.
a405,58890584100,Zhang Y.-Y.
a406,58890503200,Li B.
a407,58890603700,Tan L.
a408,7501676394,Li C.
a409,8389428000,Shen X.-C.
a410,58890545100,Li J.
a411,58480898500,Khan J.
a412,57421866300,Suau Sans M.
a413,57760054700,Okot F.
a414,58837375900,Rom Ayuiel A.
a415,58481894200,Magoola J.
a416,57188744825,Rassi C.
a417,58481098000,Huang S.
a418,56094549500,Mubiru D.
a419,57190282675,Bonnington C.
a420,57194226441,Baker K.
a421,58481292300,Ahmed J.
a422,58481694500,Nnaji C.
a423,57224686986,Richardson S.
a424,57889666400,Hou M.
a425,56510723800,Zheng L.
a426,56701350400,Zhao D.
a427,57224910061,Tan X.
a428,57834122300,Feng W.
a429,58120523900,Fu J.
a430,58888137600,Wei T.
a431,57847915800,Cao M.
a432,57208764210,Zhang J.
a433,56333627400,Chen C.
a434,58765058600,Zhang H.
a435,58764630500,Wu H.
a436,58764344300,Li Z.
a437,58489344200,Gong W.
a438,58555291300,Yan Y.
a439,57579154500,Zhao N.
a440,58481891800,Gu M.
a441,57579775600,Li J.
a442,57578944200,Zhang H.
a443,57579775700,Yang J.
a444,58899993300,Tang S.
a445,57221543850,Cui X.
a446,58054762500,Wang R.
a447,58899993400,Li S.
a448,58116729500,Li S.
a449,58899867300,Huang X.
a450,57198359439,Chen S.
a451,57217523440,Ma H.
a452,55642342300,Fang H.
a453,58857332500,Xie X.
a454,57205722995,Liu Y.
a455,36016301200,Chai Y.
a456,58138235300,Liao H.
a457,58779442900,Shen H.
a458,56915035200,Li Z.
a459,58848001900,Wang C.
a460,56029730000,Li G.
a461,36643197800,Bie Y.
a462,55600419500,Xu C.
a463,57196026613,Wu J.
a464,57200135242,Clementi M.
a465,57271388500,Huang C.
a466,58849818300,Ye F.
a467,57197836152,Fu H.
a468,58849116200,Lu L.
a469,58848178300,Zhang S.
a470,56151229800,Li Q.
a471,35614113800,Brès C.-S.
a472,57234834400,Jo H.
a473,47560967500,Bang Y.
a474,58854011800,Tsai C.-Y.
a475,57207580310,Jiesisibieke Z.L.
a476,58855133400,Tao P.
a477,57222995052,Wang Y.-C.
a478,57470801300,Jiesisibieke D.
a479,57204030425,Chien C.-W.
a480,7101951792,Tung T.-H.
a481,58890878500,Nie X.
a482,58892239200,Wang Y.
a483,55683715500,Zhang C.
a484,58892004900,Zhao Y.
a485,6602636301,Kirkwood N.
a486,58088061700,Zheng Z.
a487,58837873200,Zhong X.
a488,57221143957,Zhang Q.
a489,57197785386,Zhang M.
a490,57207338227,Dai L.
a491,58806237300,Xiao X.
a492,58109233700,Xu J.
a493,58838885400,Jiao M.
a494,58734515600,Wang B.
a495,58838124800,Li H.
a496,57737327100,Jia Y.
a497,58069800700,Mao R.
a498,36464485600,Zhou G.
a499,57376071700,Wang P.
a500,57210795747,Zhang X.
a501,57016101800,Shi R.
a502,57216537945,Zhao J.
a503,7003557732,Waterhouse G.I.N.
a504,7404638641,Tang J.
a505,17436570200,Zhang T.
a506,57210921174,Chen C.-F.
a507,58825623200,He H.-Y.
a508,58828168400,Tong Y.-X.
a509,58827156500,Chen X.-L.
a510,57921383200,Wang Y.
a511,57219518198,Xu H.
a512,58202720800,Deng X.
a513,58825550800,Liew T.C.H.
a514,7006192928,Xiong Q.
a515,58857753700,Li W.
a516,58263481600,Tang S.-C.
a517,57219086659,Jin L.
a518,57713111600,Li M.
a519,58896274800,Wang Q.
a520,58895843800,Liao Y.
a521,55332587700,Alahmad Y.
a522,58894355300,Agarwal A.
a523,58345119700,Liang X.-L.
a524,57657066400,Su Y.-D.
a525,57194686377,Li X.-B.
a526,58343830400,Fu Y.-B.
a527,57212214956,Ma R.
a528,57882199800,Yang R.
a529,57656416200,Wu H.-L.
a530,37007631400,Li Y.
a531,57217232867,Chen P.
a532,58106288200,Wang J.
a533,57958162800,Zhang S.
a534,58827115400,Wang Y.
a535,57196258770,Sun Y.
a536,57215491814,Bai S.
a537,57203801312,Wu Q.
a538,57226300788,Cheng X.
a539,58827115500,Cao P.
a540,16647078000,Qi X.
a541,58697411000,Wang L.
a542,58697411100,Chen X.
a543,58159023800,Deng X.
a544,58811708300,Wen H.
a545,57991840300,You M.
a546,58112904500,Liu W.
a547,56482387700,Li Q.
a548,35086571000,Li J.
a549,57772627600,Dong X.
a550,7501637590,Wang C.
a551,58894673800,Zhang F.
a552,58894411800,Zhang H.
a553,57202019728,Xia C.
a554,57556649500,Zheng L.
a555,57812614800,Shi S.
a556,57815518500,Lu M.
a557,58260236400,Fang P.
a558,57844026900,Pan Z.
a559,57192489913,Zhang H.
a560,58676238900,Zhou Z.
a561,57974351400,Zhang H.
a562,57212801892,Mou M.
a563,58336446700,Huang S.
a564,58864737200,Tao L.
a565,57225953798,Xia W.
a566,58797665300,Li H.
a567,57815442800,Zeng Z.
a568,58843579300,Zhang S.
a569,57192422482,Chen Y.
a570,57386527600,Li Z.
a571,55547069100,Zhu F.
a572,58889681100,Gu M.
a573,58889689600,Pei W.
a574,57763061400,Gao X.
a575,7601519371,Wang Y.
a576,57830990200,Ye C.
a577,58804764800,Wu Q.
a578,58545684500,Chen S.
a579,58804533800,Zhang X.
a580,58751939200,Xu W.
a581,57195385683,Wu Y.
a582,36784200800,Zhang Y.
a583,36770766100,Yue Y.
a584,58838663400,Zhang W.
a585,57686974200,Ding D.
a586,57216541379,Lu Y.
a587,58639713500,Chen H.
a588,58838158900,Jiang P.
a589,57216549533,Zuo P.
a590,58838915600,Wang G.
a591,58838412800,Luo J.
a592,57704530900,Yin Y.
a593,7404182629,Luo J.
a594,56035522900,Yin Y.
a595,58879368100,Tang F.
a596,58880156200,Wang Y.
a597,57206998422,Wang Y.
a598,57221958357,Jin J.
a599,56424660100,Han W.
a600,24437774700,Chen Y.
a601,23500325000,Yan C.
a602,58603197300,Xu L.
a603,57192510650,Zhang X.
a604,55540027400,Huang X.
a605,57216473967,Shao X.
a606,58838857600,Kshitij F.S.
a607,55645446000,Kim C.S.
a608,57218141457,Tian M.
a609,55986571400,Liu Y.
a610,56828380200,Zhang S.
a611,58798136100,Yu C.
a612,26636586300,Ostrikov K.K.
a613,56068554200,Zhang Z.
a614,58865790400,Su D.
a615,58866678700,Yang H.
a616,58866010100,Chen Z.
a617,58865581600,Kong Y.
a618,58867120500,Na X.
a619,57796361300,Lin Q.
a620,58829192600,Zhao A.
a621,58866233000,Zheng Y.
a622,57196085962,Ma Y.
a623,58866902200,Li X.
a624,56346333300,Li Z.
a625,57190584615,Zhu J.
a626,55898027700,Zhang Y.
a627,57208465563,Chen Z.
a628,56211566900,Zhang Z.
a629,58896205100,Tian X.
a630,58895991000,Huang M.
a631,58895327500,Bai X.
a632,57329388500,Wang X.
a633,58494691600,Zhu Y.
a634,25651412400,Jiang H.
a635,57191724585,Chen C.
a636,58737838000,Wang B.
a637,58848255300,An H.
a638,58849423800,Luo M.
a639,57195929987,Zhu W.
a640,57206872877,Li Z.
a641,58906535400,Shu H.
a642,58906535500,Gao H.
a643,14619926300,Wei X.
a644,58906555700,Wang Z.
a645,57045487500,Zhang H.
a646,57921508600,Guo P.
a647,57213178373,Zhang L.
a648,58838357700,Lu J.
a649,36467487100,Zhang H.
a650,57189075055,Zhu X.
a651,57211523188,Wu C.
a652,58838104300,Zhan X.
a653,56681613600,Yin H.
a654,12647315500,Wang Z.
a655,57198771665,Xu Y.
a656,7410044480,Wang Z.
a657,7006536672,Kong Z.
a658,57200101730,Li Z.
a659,57209799872,Chen J.
a660,57221830476,Shi Y.
a661,58866026100,Li N.
a662,58866919100,Ma W.
a663,58023275000,Wang Y.
a664,56979643000,Yang Z.
a665,55569201600,Liu Z.
a666,57278373200,Li Z.
a667,58314162200,Zhou W.
a668,57580203500,Zhou Z.
a669,58314659200,Zhang S.
a670,56144855400,Shi J.
a671,58837916400,Shen C.
a672,35115864600,Zhang J.
a673,7006655653,Chi N.
a674,7202735131,Dai Q.
a675,57539285700,Mu D.
a676,56373812400,Zhang K.
a677,57202204888,Ma Q.
a678,58117862500,Wang J.
a679,57262776900,Pan X.
a680,57211736763,Chang Y.
a681,7006113849,Ruan G.
a682,57201739348,Zhou S.
a683,57040155000,Jiang H.
a684,36484811000,Jiang Q.
a685,57487228900,Huang X.
a686,13303619500,Zhao X.-S.
a687,57218343162,Li C.
a688,57200420399,Zhang H.
a689,58496630800,Liu W.
a690,57222653122,Sheng L.
a691,58856825300,Cheng M.-J.
a692,56205352500,Xu B.
a693,55499256700,Luo G.
a694,36675297800,Lu Q.
a695,58854770900,Tang M.
a696,57315637200,Lu H.
a697,8924505000,Zu L.
a698,56643230300,Duan H.-C.
a699,57195338331,Zhang C.
a700,57202432103,Song P.
a701,58864889300,Yang J.
a702,58864811600,Wang Y.
a703,8673769700,Jia G.
a704,57204723146,Ma X.
a705,57734388300,Cai Z.
a706,24402996500,Zhuang C.
a707,58010620900,Liu X.
a708,58888540000,Zhang Z.
a709,57219195653,Liu K.
a710,57217174260,Cao B.
a711,7404984708,He J.
a712,58834077700,Yang C.
a713,55755001600,Bao C.
a714,36571187500,Zeng R.
a715,57211477834,Wang X.
a716,57201338260,Jiang Q.
a717,57205581541,Zhang H.
a718,57207821131,He Z.
a719,57482092300,Song Y.
a720,58551102400,Chen Y.
a721,58856923100,Tang N.
a722,57207831674,Zhou Y.
a723,58856923200,Li Y.
a724,6602686928,Antebi A.
a725,56440485200,Wu L.
a726,55277815700,Han J.-D.J.
a727,55805732200,Shen Y.
a728,57196044541,Chen T.
a729,58827100900,Xie S.
a730,57474282600,Cheng J.
a731,58826076600,Zhao Q.
a732,55991934800,Wu H.
a733,57193745387,Jiang P.
a734,55619836100,Du W.
a735,58864990800,Yang Y.
a736,57212265492,Zhao L.
a737,55865574300,Yi D.
a738,57215716560,Xu T.
a739,57224852318,Chai Y.
a740,57762931600,Zhang C.
a741,57223932006,Jiang D.
a742,57544449100,Ji Y.
a743,35198097100,Hou D.
a744,21742836100,Jiang W.
a745,35789210900,Tang J.
a746,58864990900,Yu P.
a747,55649971900,Wu H.
a748,54791136100,Nan T.
a749,58858704900,Cheng Q.
a750,58857726800,Wang Y.
a751,58858510300,He W.
a752,58859091600,Bai Y.
a753,57216285827,Yang L.
a754,58492016000,Lyu J.
a755,57970988500,Li X.
a756,58535280400,Guo G.
a757,36574610600,Zhou X.
a758,57221710733,Chen T.
a759,56942570500,Lin Y.
a760,57221125295,Li T.
a761,57224177567,Ding Y.
a762,57092350600,Wang K.
a763,58819705700,Zhang L.
a764,55619321013,Qu X.
a765,58820380200,Chen R.
a766,57209972911,Li T.
a767,57189401839,Li Y.
a768,14029671000,El Husseini N.
a769,56503961500,Schaich C.L.
a770,7007034447,Craft S.
a771,7006500047,Rapp S.R.
a772,7003298585,Hayden K.M.
